NCESID,StudentTestID,StudentLocalID,StudentGradeLevel,TestDate,TestName,TestTypeName,TestSubjectName,TestGradeLevel,Score1Label,Score1Type,Score1Value,Score2Label,Score2Type,Score2Value,Score3Label,Score3Type,Score3Value,Score4Label,Score4Type,Score4Value
373737,1382899,missing,4,5/1/13,MCAS,MCAS Math,Math,4,Performance Level,Level,3-NI,Scaled Score,Scale,226,CPI,Scale,50,,,
373737,1539353,missing,4,4/1/13,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3-NI,Scaled Score,Scale,238,CPI,Scale,75,,,
373737,1539353,missing,4,5/1/13,MCAS,MCAS Math,Math,4,Performance Level,Level,5-A,Scaled Score,Scale,260,CPI,Scale,100,,,
373737,1536615,missing,4,4/1/13,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3-NI,Scaled Score,Scale,220,CPI,Scale,50,,,
373737,1536615,missing,4,5/1/13,MCAS,MCAS Math,Math,4,Performance Level,Level,3-NI,Scaled Score,Scale,226,CPI,Scale,50,,,
373737,1470518,missing,4,4/1/13,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4-P,Scaled Score,Scale,242,CPI,Scale,100,,,
373737,1470518,missing,4,5/1/13,MCAS,MCAS Math,Math,4,Performance Level,Level,3-NI,Scaled Score,Scale,236,CPI,Scale,75,,,
373737,1873454,missing,4,4/1/13,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4-P,Scaled Score,Scale,254,CPI,Scale,100,,,
373737,1873454,missing,4,5/1/13,MCAS,MCAS Math,Math,4,Performance Level,Level,5-A,Scaled Score,Scale,266,CPI,Scale,100,,,
373737,1619446,missing,4,4/1/13,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3-NI,Scaled Score,Scale,234,CPI,Scale,75,,,
373737,1619446,missing,4,5/1/13,MCAS,MCAS Math,Math,4,Performance Level,Level,4-P,Scaled Score,Scale,240,CPI,Scale,100,,,
373737,1147139,missing,4,4/1/13,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3-NI,Scaled Score,Scale,220,CPI,Scale,50,,,
373737,1147139,missing,4,5/1/13,MCAS,MCAS Math,Math,4,Performance Level,Level,3-NI,Scaled Score,Scale,226,CPI,Scale,50,,,
373737,1132868,missing,4,4/1/13,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4-P,Scaled Score,Scale,242,CPI,Scale,100,,,
373737,1132868,missing,4,5/1/13,MCAS,MCAS Math,Math,4,Performance Level,Level,3-NI,Scaled Score,Scale,236,CPI,Scale,75,,,
373737,1349232,missing,4,4/1/13,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3-NI,Scaled Score,Scale,226,CPI,Scale,50,,,
373737,1349232,missing,4,5/1/13,MCAS,MCAS Math,Math,4,Performance Level,Level,3-NI,Scaled Score,Scale,226,CPI,Scale,50,,,
373737,1075046,missing,4,4/1/13,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4-P,Scaled Score,Scale,256,CPI,Scale,100,,,
373737,1075046,missing,4,5/1/13,MCAS,MCAS Math,Math,4,Performance Level,Level,4-P,Scaled Score,Scale,240,CPI,Scale,100,,,
